pl_name,sy_mnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim
Kepler-1335 b,0,2016,6.26406846,0.00002706,-0.00002706,0,1.450,0.100,-0.090,0,2.70000,,,0,4.870000,,,0,0.01807,0.00102,-0.00055,0,,,,
Kepler-1336 b,0,2016,23.19868100,0.00025460,-0.00025460,0,1.980,0.300,-0.400,0,4.58000,,,0,3.240000,,,0,0.01373,0.00051,-0.00030,0,,,,
Kepler-1336 c,0,2016,5.77721211,0.00002788,-0.00002788,0,1.710,0.270,-0.350,0,3.57000,,,0,3.920000,,,0,0.01097,0.00043,-0.00053,0,,,,
Kepler-1337 b,0,2016,24.40025490,0.00010890,-0.00010890,0,2.410,0.100,-0.440,0,6.39000,,,0,2.510000,,,0,0.03286,0.00001,-0.00564,0,,,,
Kepler-1338 b,0,2016,0.93511806,0.00000276,-0.00000276,0,0.920,0.190,-0.100,0,0.72100,,,0,5.090000,,,0,0.00771,0.00024,-0.00034,0,,,,
Kepler-1339 b,0,2016,1.34155513,0.00000370,-0.00000370,0,0.710,0.060,-0.040,0,0.28500,,,0,4.380000,,,0,0.00700,0.00033,-0.00015,0,,,,
Kepler-134 b,0,2014,5.31742900,0.00000800,-0.00000800,0,2.000,0.390,-0.390,0,4.66000,,,0,3.200000,,,0,0.01542,0.00032,-0.00016,0,,,,
Kepler-134 c,0,2014,10.10578500,0.00005300,-0.00005300,0,1.260,0.250,-0.250,0,2.13000,,,0,5.850000,,,0,0.00975,0.00032,-0.00035,0,,,,
Kepler-1340 b,0,2016,0.66502692,0.00000160,-0.00000160,0,1.550,0.700,-0.270,0,3.02000,,,0,4.460000,,,0,0.00962,0.00037,-0.00024,0,,,,
Kepler-1341 b,0,2016,132.99683220,0.00092430,-0.00092430,0,2.990,0.420,-0.370,0,9.22000,,,0,1.900000,,,0,0.03765,0.00522,-0.00461,0,,,,
Kepler-1342 b,0,2016,2.21571036,0.00000812,-0.00000812,0,1.660,0.220,-0.130,0,3.39000,,,0,4.070000,,,0,0.01669,0.00094,-0.00045,0,,,,
Kepler-1343 b,0,2016,3.35183158,0.00001113,-0.00001113,0,1.930,0.250,-0.190,0,4.38000,,,0,3.350000,,,0,0.01914,0.00078,-0.00062,0,,,,
Kepler-1344 b,0,2016,4.76830490,0.00001895,-0.00001895,0,1.840,0.500,-0.200,0,4.04000,,,0,3.560000,,,0,0.01466,0.00047,-0.00032,0,,,,
Kepler-1345 b,0,2016,44.61695570,0.00033290,-0.00033290,0,2.360,1.060,-0.460,0,6.17000,,,0,2.580000,,,0,0.01397,0.00057,-0.00030,0,,,,
Kepler-1346 b,0,2016,3.40165668,0.00001161,-0.00001161,0,1.580,0.560,-0.210,0,3.12000,,,0,4.350000,,,0,0.01205,0.00051,-0.00042,0,,,,
Kepler-1347 b,0,2016,14.00947528,0.00007001,-0.00007001,0,1.030,0.060,-0.050,0,1.08000,,,0,5.430000,,,0,0.01184,0.00058,-0.00039,0,,,,
Kepler-1348 b,0,2016,27.57227420,0.00022800,-0.00022800,0,1.940,0.430,-0.230,0,4.42000,,,0,3.330000,,,0,0.01693,0.00005,-0.00119,0,,,,
Kepler-1349 b,0,2016,2.12823928,0.00001057,-0.00001057,0,0.700,0.630,-0.110,0,0.27100,,,0,4.340000,,,0,0.00464,0.00023,-0.00009,0,,,,
Kepler-135 b,0,2014,6.00253000,0.00001600,-0.00001600,0,1.810,0.350,-0.350,0,3.93000,,,0,3.640000,,,0,0.01317,0.00021,-0.00021,0,,,,
Kepler-135 c,0,2014,11.44870800,0.00014500,-0.00014500,0,1.160,0.230,-0.230,0,1.65000,,,0,5.810000,,,0,0.00807,0.00028,-0.00024,0,,,,
Kepler-1350 b,0,2016,4.49686040,0.00001273,-0.00001273,0,2.520,0.160,-0.250,0,6.90000,,,0,2.370000,,,0,0.04402,0.00102,-0.00114,0,,,,
